OBJECTID,ID,estate_chi,estate_eng,HousingType,Latitude,Longitude,adhz,t_pop,age_1,age_2,age_3,age_4,age_5,born_chi,born_else,born_hk,dh,dhc_nc,dhc_oth,dhc_re,dhi_sb_1,dhi_sb_2,dhi_sb_3,dhi_sb_4,dhi_sb_e1,dhi_sb_e2,dhi_sb_e3,dhi_sb_e4,dhm_loan,dhm_lr,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,dm_r,dmr_ir,edu_pri_be,edu_psec,edu_sec,estate,ethn_chi,ethn_ind,ethn_oth,ethn_phi,ethn_wh,fa_m,ma_econhh,ma_f,ma_hh,ma_m,mearn_xfdhfw_sb_1,mearn_xfdhfw_sb_2,mearn_xfdhfw_sb_3,mearn_xfw_sb_1,mearn_xfw_sb_2,mearn_xfw_sb_3,ms_m_f,ms_ma_m,ms_nm_f,ms_nm_m,ms_wds_f,ms_wds_m,nwp_care,nwp_hm,nwp_oth,nwp_re,nwp_st,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_hm,plw_nofix,plw_out,plw_same,pop_f,pop_m,readchi_ablepctn,readeng_ablepctn,s_diff_oth,sr,t_ma,t_mmearn,t_mmearn_xfdh,t_nwp,t_wp,ul_can,ul_eng,ul_oth,ul_othchi,ul_put,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,wp_a,wp_b,wp_c,wp_d,wp_e,wp_ee,wp_er,wp_f,wp_fw,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_se,wp_t,writechi_ablepctn,writeeng_ablepctn,Shape_Length,Shape_Area
48,PV_013,維港灣,Island Harbourview,Private,22.31892152,114.1578582,2.9,6236,943,424,2046,1953,870,1500,834,3902,2133,1451,446,236,169,123,185,1656,22,29,164,1602,19000,18,377,607,320,517,272,40,22220,29.9,330,3252,1711,60780,5389,265,166,346,70,62,100190,42.4,89870,44.4,122,368,2353,758,368,2353,2006,1527,807,455,403,95,129,202,504,807,1115,265,330,202,293,1048,412,388,136,649,165,77,604,3658,2578,87.5,87,30,705,42.9,37000,54810,2757,3479,4693,577,144,20,480,57,267,1402,1055,425,273,762,765,803,287,113,3135,162,51,-,38,660,-,123,153,315,134,63,187,785,467,547,681,182,24,85.7,84.9,1032.109713,63240.40097
49,PV_014,家維邨,Ka Wai Chuen,Private,22.30820029,114.1866632,2.8,6634,516,466,1370,2300,1982,2463,405,3766,2408,1331,541,536,670,390,662,686,83,261,629,686,10000,14.5,488,694,534,416,183,93,1720,10,1493,1660,2965,30005,6355,142,43,94,-,32,34480,55.8,22040,54.2,422,1099,1366,621,1099,1366,1768,1704,847,886,725,188,132,380,434,1910,692,97,162,76,402,667,830,316,99,210,362,31,571,3634,3000,93.9,58.9,-,826,54.9,18000,18000,3548,3086,6019,86,23,297,67,198,253,902,1095,413,225,256,290,470,381,849,2844,71,188,-,157,495,-,77,222,474,162,364,87,188,616,560,300,171,36,91.7,55.3,556.2735051,19374.28286
51,PV_015,啟德花園,Kai Tak Garden,Private,22.3377553,114.1946033,3.2,3928,281,398,762,1458,1029,1008,220,2700,1238,757,181,300,192,117,291,638,53,23,263,638,7000,16.8,140,306,322,248,147,75,**,**,787,1405,1455,40009,3731,122,10,65,-,57,45670,54.2,40190,51.3,212,445,1050,404,445,1050,1048,872,623,623,405,76,67,113,331,1077,427,64,140,26,193,292,691,311,28,226,215,5,145,2194,1734,91.9,69.7,-,790,52.7,20000,21250,2015,1913,3702,72,9,105,8,101,187,609,709,146,161,121,304,513,295,330,1699,11,65,14,27,258,-,32,70,285,108,170,126,118,341,355,266,189,42,89.8,67.7,421.7342101,10916.59915
60,PV_016,觀塘花園大廈,Kwun Tong Garden Estate,Private,22.3166007,114.2192043,2.5,11801,966,693,2825,3791,3526,5136,415,6250,4639,2608,1085,946,1419,1013,1410,797,353,770,1384,789,-,-,1013,1395,1253,717,230,31,1820,9.6,3205,2378,5252,30007,11486,119,146,50,-,30,25140,54.4,18040,53.6,982,2531,1594,1117,2531,1594,2986,2791,1484,1629,1410,535,302,601,1250,3200,1206,66,331,169,686,868,1090,625,265,199,1065,19,1111,6397,5404,95,55.5,-,845,54.1,15000,15000,6559,5242,10799,78,52,525,120,450,528,1499,1795,597,373,231,302,885,721,1359,4752,51,403,-,438,883,20,184,555,814,591,614,173,220,959,635,462,439,35,91.5,53.3,1328.856884,66437.71637
61,PV_017,麗港城,Laguna City,Private,22.30590024,114.2277407,3,22319,2476,1826,6065,8612,3340,3174,2648,16497,7503,5594,1068,841,782,614,1293,4814,140,376,1025,4657,15500,18.5,969,2110,1917,1571,722,214,17000,29.3,1160,11772,6911,60959,19811,779,636,1078,15,49,70040,46.2,60000,48.7,554,1901,7657,2294,1901,7657,7120,6200,2908,2097,1184,334,381,1089,1420,3958,3574,810,1222,569,897,2881,1868,1232,329,1950,1148,171,2318,12311,10008,89.4,88.3,99,813,47.4,28000,33000,10422,11897,19415,1495,403,181,300,580,1017,4728,3714,1080,778,2302,2736,2597,1356,721,10706,426,243,45,93,1849,-,298,540,1683,551,287,707,1547,1582,2705,1951,720,46,88,86.9,2340.12584,108890.2742
62,PV_018,海逸豪園,Laguna Verde,Private,22.30810963,114.1925198,3.1,12664,1904,1124,4129,3905,1602,2717,2627,7320,4089,2969,667,453,391,304,784,2610,79,213,674,2479,21260,26.3,507,988,1151,789,484,170,21000,39.4,758,5797,4205,60960,10033,402,1264,840,125,73,70070,41.6,60000,42.7,320,854,3845,1604,854,3845,3942,3199,1501,1265,642,211,278,773,1097,1763,2423,288,459,261,1108,1278,1428,513,82,1436,817,191,585,6999,5665,82.6,86.2,65,809,42,26250,35000,6334,6330,9018,1374,818,229,681,448,564,2404,1599,661,654,1375,1088,1202,578,340,5216,663,244,27,66,1437,-,257,354,907,428,153,329,687,743,989,1423,424,60,80.9,84,1147.680199,64065.58691
70,PV_019,昇悅居,Liberte,Private,22.33460708,114.1488407,2.5,6009,893,426,1533,2708,449,697,554,4758,2360,1683,551,126,177,161,368,1654,42,139,330,1654,13000,19.1,520,782,509,364,168,17,18000,24.3,170,3339,1607,61000,5490,146,119,221,33,48,70040,45.2,65040,47.1,144,521,2643,495,537,2643,1896,1647,700,481,305,87,120,303,334,475,1102,162,357,41,567,1039,993,530,81,396,251,28,357,3398,2611,92.8,91.3,9,768,45.7,34000,40000,2334,3675,5244,341,86,56,63,110,179,1654,1108,341,283,805,740,947,434,208,3379,67,44,-,20,477,-,132,107,547,153,74,194,506,634,868,437,229,23,91.4,90.5,534.577305,17485.42085
72,PV_020,樂民新村,Lok Man Sun Chuen,Private,22.31640666,114.1860035,2.5,8696,657,565,1855,2486,3133,4257,297,4142,3489,1902,851,736,1029,971,972,517,238,731,959,511,-,-,802,1196,766,520,106,99,1570,9.7,2544,1571,3924,30009,8461,114,94,27,-,29,23200,57.7,15980,53.2,745,1757,1063,886,1757,1063,2129,1957,935,1389,1286,343,160,384,605,2811,1003,103,39,134,745,705,1072,426,103,174,621,34,598,4691,4005,94.1,52.2,-,854,54.6,15000,15000,4963,3733,7909,12,54,465,131,227,425,1117,1232,480,252,129,165,681,507,1061,3384,75,301,27,208,681,-,146,334,725,312,385,109,161,849,428,249,247,35,90.7,49.2,1251.524763,38103.48517
81,PV_021,曼克頓山,Manhattan Hill,Private,22.3350008,114.1424009,3.1,3140,496,210,1079,1013,342,488,606,2046,1027,665,261,101,51,98,177,701,30,60,103,663,24600,19.8,179,278,179,171,163,57,23800,42.6,128,1450,1066,61082,2575,161,37,340,27,54,80000,39.4,60140,46.1,93,237,981,560,237,981,966,670,580,167,250,11,87,98,227,392,558,41,289,69,127,436,266,207,20,484,102,54,209,2066,1074,80.4,88.9,7,520,40.6,21250,36000,1362,1778,2462,383,30,-,18,68,111,610,649,251,89,435,202,399,112,98,1529,180,32,-,-,500,-,111,39,239,109,53,83,305,249,93,487,69,10,79.1,87.3,604.6113041,11736.86396
82,PV_022,皓畋,Mantin Heights,Private,22.31828993,114.1820845,3,3189,634,237,1373,760,185,819,519,1851,1072,628,330,114,172,163,105,632,49,104,92,616,27580,25.7,276,155,197,256,152,36,22800,27.5,39,1825,691,62186,2668,62,173,271,15,54,82790,35.7,72040,34.4,68,64,1072,401,64,1072,833,631,532,308,216,35,144,197,665,215,431,34,174,165,286,542,389,99,19,333,38,25,92,1816,1373,84.4,95,-,756,35.5,35000,40000,1652,1537,2200,312,56,-,206,66,117,648,465,150,91,204,344,472,103,67,1393,105,14,-,-,333,-,10,104,129,101,27,68,388,147,192,371,39,-,84.4,91.2,818.4410045,24081.08281
83,PV_023,美孚新邨,Mei Foo Sun Chuen,Private,22.33661512,114.139818,3,37299,4210,1922,10723,10838,9606,7550,4595,25154,12354,7979,2077,2298,1886,1233,2037,7198,360,682,1612,6641,15850,22.4,1545,3191,3254,2602,1439,323,20000,30.7,4118,15936,13035,61107,33206,1739,474,1751,129,63,60040,47.4,47900,48.3,1007,3435,10121,4499,3435,10121,12000,9336,4620,3378,3072,683,717,1599,2547,9216,5080,457,1710,719,2165,3929,3572,2906,445,3818,1367,271,1832,21628,15671,89.2,79.7,62,725,47.8,21250,30000,19159,18140,32817,1744,767,444,407,924,1297,7228,5346,1974,1371,2769,3324,3908,2038,1543,16266,683,288,85,298,3972,-,611,684,2520,973,548,1004,1772,2472,3547,3938,1106,71,87.3,77,2791.292627,157478.0421
84,PV_024,美景樓,Mei King Mansion,Private,22.31609391,114.1904734,2.4,3421,522,294,955,999,651,1950,117,1354,1398,807,379,212,307,392,476,223,61,380,476,223,10500,27,364,489,233,193,106,13,5500,33.5,559,569,1771,62214,3275,30,116,-,-,25,21850,39.4,19930,47.5,219,844,558,233,844,558,945,961,436,159,235,163,77,213,398,537,561,12,52,35,481,145,478,75,18,85,416,40,378,1885,1536,97.5,58.7,9,815,43.9,15000,15000,1786,1635,2296,12,25,568,295,93,198,389,482,287,186,44,116,224,163,534,1508,14,114,-,70,363,7,9,200,280,106,368,42,98,176,243,102,113,11,96.6,53.5,427.4041656,5315.238774
86,PV_025,港灣豪庭,Metro Harbour View,Private,22.32455143,114.1604239,2.4,7887,1092,574,3059,2325,837,1660,562,5665,3215,2046,931,238,400,355,853,1607,182,311,802,1590,10000,19.7,771,1089,670,559,119,7,15000,40,502,3827,2466,61121,7380,166,105,179,57,35,46070,40.7,39580,41.8,319,889,2882,647,889,2882,2149,1945,1379,703,493,126,181,474,611,790,1400,92,466,121,696,1051,830,606,128,394,453,58,911,4554,3333,92.6,83.5,8,732,41.1,26060,28620,3456,4431,6754,277,84,101,405,289,272,1901,1470,302,197,731,922,1185,553,478,3898,129,59,13,80,423,-,76,218,808,220,69,242,666,543,1125,454,391,10,91.1,80.4,729.7137745,23177.33141
92,PV_026,安和園,On Wo Yuen,Private,22.31685284,114.191271,2.6,2781,242,216,797,823,703,1166,111,1504,1073,581,298,194,254,217,308,294,67,189,294,294,6500,23.6,282,299,240,153,81,18,8400,38.2,466,862,1211,61231,2660,29,65,27,-,40,29280,49.1,23040,45.8,108,611,557,150,611,557,705,683,442,374,221,114,89,174,296,579,325,-,62,13,261,201,395,109,33,92,276,7,205,1446,1335,95.2,65.7,13,923,48.2,17000,17500,1463,1318,2293,33,37,257,58,93,68,547,349,143,118,124,155,341,148,234,1162,48,127,-,59,124,6,45,130,180,140,77,106,103,219,193,119,108,6,93.7,60.9,754.5709144,6196.255813
93,PV_027,啟德１號,One Kai Tak,Private,22.32938647,114.2005199,2.6,2777,440,224,1206,675,232,698,275,1804,1038,605,320,113,69,92,178,699,30,80,141,673,20000,34.9,246,364,113,248,39,28,18500,28.3,76,1463,798,62204,2339,110,219,89,20,52,58090,34.8,55140,35.7,63,181,1160,262,181,1160,868,737,355,223,110,44,67,76,373,259,399,24,136,67,162,457,409,198,14,230,160,41,94,1527,1250,89.5,91.7,-,819,35.2,40000,45000,1174,1603,2204,170,10,30,154,118,87,754,403,164,77,429,479,261,60,141,1304,179,24,-,-,209,-,53,91,227,87,67,100,245,181,291,240,120,21,89.5,90,829.0550524,16345.13705
95,PV_028,又一居,Parc Oasis,Private,22.33377287,114.174473,3,5005,640,581,1319,2014,451,942,679,3384,1643,1172,346,125,297,67,164,1115,125,62,124,1044,20000,17.6,162,494,393,400,121,73,22500,25,221,2830,1314,61275,4335,155,140,375,-,55,94680,42.3,77810,47.2,132,284,1652,691,300,1652,1588,1276,884,330,253,34,49,233,587,648,845,62,395,53,289,629,565,408,42,619,169,75,136,2960,2045,87.7,92.9,9,691,44.2,31250,50000,2362,2643,4028,446,35,95,208,149,146,951,952,239,206,541,586,603,192,104,2379,181,12,-,16,589,-,57,91,332,113,42,98,326,357,602,599,83,26,86,90.3,1730.899753,41805.62956
96,PV_029,柏景灣,Park Avenue,Private,22.31607575,114.1630461,3.1,4651,750,354,1273,1753,521,1017,535,3099,1503,1033,262,208,119,108,299,977,-,88,226,955,16720,22.2,238,308,389,315,163,90,23000,24.7,274,2332,1295,61281,4137,214,36,264,-,68,82450,44,66750,44.2,177,188,1607,658,188,1607,1462,1134,646,329,309,21,162,234,309,611,867,138,350,53,294,626,362,333,27,531,212,13,364,2767,1884,88.3,85.6,14,681,44.1,30000,45000,2183,2468,3889,238,60,24,268,93,167,795,924,248,241,410,643,367,245,192,2205,80,93,15,22,496,-,64,113,259,145,62,76,493,240,475,530,168,11,86.8,84.6,610.7757922,21148.62764
101,PV_030,駿發花園,Prosperous Garden,Private,22.31045402,114.1684884,2.8,4090,394,341,897,1434,1024,933,379,2778,1460,973,245,242,308,185,466,501,50,126,421,493,13500,22.6,223,492,318,258,117,52,5830,19.6,538,1224,1934,61378,3681,119,86,204,-,44,36180,49.6,29810,51.7,227,775,897,391,775,897,1214,1054,510,465,315,138,57,219,278,844,618,76,202,39,317,585,357,183,12,197,300,46,394,2182,1908,89.3,72.5,11,874,50.3,17000,18000,2016,2074,3646,169,128,42,18,141,128,683,689,266,167,191,174,461,383,444,1804,75,24,11,129,268,-,30,133,405,215,114,123,172,364,299,214,184,5,85.4,71.6,484.240037,14626.08434
104,PV_031,半島豪庭,Royal Peninsula,Private,22.30471666,114.1845144,2.9,4396,729,196,1366,1579,526,786,946,2664,1510,1011,329,170,123,96,232,1059,23,89,219,1035,21000,22,225,424,343,355,128,35,23500,38.1,234,2345,1088,61457,3422,88,563,292,31,69,67890,44,65070,43.7,112,339,1652,504,339,1652,1465,1121,441,341,253,46,81,246,292,525,757,123,164,96,392,472,685,241,48,400,270,121,258,2574,1822,80.7,91.9,22,708,43.9,30000,36000,1901,2495,3230,617,278,5,126,73,197,928,788,297,212,540,487,650,178,181,2072,261,41,-,-,418,-,117,97,467,93,102,84,314,341,433,447,162,-,79.7,89.4,507.3273878,15068.69319
106,PV_032,秀茂坪南邨,Sau Mau Ping South Estate,Private,22.31604174,114.2351034,2.5,9645,909,1199,2077,3753,1707,5768,186,3691,3889,2313,987,589,975,1106,1344,464,244,816,1322,464,-,-,957,1049,1132,577,158,16,2850,13.6,1925,1670,5141,10122,9419,32,183,-,11,30,24190,49.4,16320,47.7,885,2424,1117,917,2424,1117,2411,2522,1166,1261,943,433,235,526,1221,1738,1467,144,276,228,897,786,869,411,97,39,1179,23,1054,4966,4679,96.8,56.2,21,942,48.6,14000,14000,5187,4458,8332,30,67,889,101,420,414,1122,1724,447,331,78,112,619,469,1591,4197,23,459,-,279,851,-,129,561,754,336,764,139,148,858,487,261,238,21,93.4,51.7,852.0042321,48971.87335
107,PV_033,滙景花園,Sceneway Garden,Private,22.3070769,114.2332506,3.1,12357,1570,1168,3305,4492,1822,1783,1206,9368,3940,2994,480,466,441,388,618,2493,54,229,507,2427,16340,16.8,379,930,1135,937,412,147,19800,24.7,1089,5960,3738,61490,11332,455,12,558,-,57,67570,45.4,55160,46,286,1194,3949,1308,1194,3949,3823,3079,1609,1309,859,108,292,566,899,2091,2031,423,592,304,746,1733,1058,616,43,1125,506,151,1246,7133,5224,90.3,86.5,27,732,45.7,25810,30240,5879,6478,11090,549,103,62,248,351,285,2644,2065,640,493,1127,1537,1215,748,525,5971,109,86,27,33,1207,-,166,318,837,232,154,362,548,1029,1635,1146,371,51,89.3,84.8,1522.058183,46724.85469
114,PV_034,傲雲峰,Sky Tower,Private,22.32339095,114.190396,2.8,5678,1089,382,1864,1869,474,915,531,4232,2060,1457,448,155,268,117,385,1290,80,104,340,1274,15500,21,426,507,532,373,188,34,17000,30.2,293,2634,1662,61607,5079,112,156,314,17,48,63610,42.2,54870,40.7,196,505,2064,619,505,2064,1762,1471,621,421,271,43,120,255,466,410,1218,104,155,101,1008,697,839,372,69,514,237,100,381,3221,2457,89.6,86.9,-,763,41.5,28000,32000,2469,3209,4617,488,53,161,117,237,252,1216,1044,323,137,549,579,897,335,168,2978,119,64,21,95,512,10,142,189,419,169,40,200,314,467,688,555,91,26,88.7,85.5,492.9904336,11028.103
116,PV_035,擎天半島,Sorrento,Private,22.30639559,114.1625146,3.2,5802,934,364,1830,1939,735,974,1639,3189,1829,1394,322,113,207,147,160,1315,39,102,123,1252,30000,35.5,295,452,329,336,263,154,37000,37.8,230,2904,1734,61616,4257,196,620,597,132,79,106790,41.5,89900,43.3,123,479,1784,907,479,1784,1981,1494,748,376,214,55,174,263,413,742,1027,361,340,81,206,839,364,387,42,933,166,113,339,3383,2419,75.8,92,6,715,42,26560,49810,2619,3183,3736,832,574,46,354,146,280,1056,967,406,328,812,574,510,241,151,2543,490,9,13,-,886,-,67,56,746,146,18,85,433,427,372,799,137,34,73.8,90.6,619.9379044,16550.91408
