Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information
Hoi Fu Court,Yau Tsim Mong,Kowloon,22.31686,114.16454,Public Rental Housing / Buy or Rent Option,1999  2004,Harmony 1  Senior Citizens  Small Household Block  New Harmony,5,Hoi Lam House Hoi Tai House Hoi Yu House Hoi Wen House Hoi Yan House,2 800 As at 30.6.2025,9.7 - 57.5,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(11) G/F  Hoi Tai House  Hoi Fu Court  Mongkok Telephone: 2625 4370 Fax: 2625 5071,(Hoi Lam House  Hoi Yu House  Hoi Wen House) Creative Property Services Consultants Ltd. G/F  Hoi Lam House  Hoi Fu Court  Mong Kok Telephone: 2625 4640 Fax: 2625 4397  (Hoi Tai House  Hoi Yan House) Good Excel Property Consultants Ltd. G/F  Hoi Tai House  Hoi Fu Court  Mong Kok Telephone: 2625 4370 Fax: 3152 2174,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only - Hoi Ning House has been sold under the Buy or Rent Option Phase 1   <a href= /en/common/pdf/global-elements/estate-locator/HoiFuCourt-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Choi Wan (I) Estate,Wong Tai Sin,Kowloon,22.33301,114.21512,Public Rental Housing,1979,Double H  Old Slab  Single H,16,Boon Yuet House Cheung Bor House Chi Siu House Fei Fung House Kam Lam House King San House Koon Yat House Ngan Ho House Pak Fung House Pak Hung House Sau Man House Sing San House Sze Yu House Yau Lung House Yuk Lun House Yat Yuet House,5 900 As at 30.6.2025,28.6 - 67.9,Formed,Choi Wan (I) Estate Office Unit 108-115  G/F  Boon Yuet House  Choi Wan Estate  Kowloon. Telephone: 2750 7211 Fax: 2750 8477,Choi Wan (I) Estate Office Unit 108-115  G/F  Boon Yuet House  Choi Wan Estate  Kowloon. Telephone: 2750 7211 Fax: 2750 8477,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiWanIEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Chuk Yuen (North) Estate,Wong Tai Sin,Kowloon,22.34581,114.19293,Tenants Purchase Scheme,1987,Trident 3,8,Chung Yuen House Cheung Yuen House Mui Yuen House Pak Yuen House Toa Yuen House Tung Yuen House Wai Yuen House Yung Yuen House,700 * As at 30.6.2025,Gross Floor Areas (sqm):17.7 - 63.6; Saleable Areas (sqm):13.7 - 49.3,Not applicable (Owners' Corporation Formed),Chuk Yuen District Tenancy Management Office Unit 101-108  Yung Yuen House  Chuk Yuen (N) Estate  Wong Tai Sin Telephone: 2351 1818 Fax: 2351 9224  Chuk Yuen (North) Estate Tenants Service Management Office Funing Property Management Ltd. G/F.  115A  Tung Yuen House  Chuk Yuen (North) Estate  Wong Tai Sin Telephone: 2726 3111 Fax: 2726 5077,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only
Chuk Yuen South Estate,Wong Tai Sin,Kowloon,22.34463,114.19064,Public Rental Housing,1984,Double H  Old Slab  Twin Tower,8,Chui Yuen House Fu Yuen House Kwai Yuen House Lai Yuen House Nga Yuen House Sau Yuen House Wah Yuen House Wing Yuen House,6 200 As at 30.6.2025,11.5 - 64.0,Formed,Chuk Yuen District Tenancy Management Office Unit 101-108  Yung Yuen House  Chuk Yuen (N) Estate  Wong Tai Sin Telephone: 2351 1818 Fax: 2351 9224,Easy Living Consultant Limited G/F  Wah Yuen House  Chuk Yuen (South) Estate  Wong Tai Sin Telephone: 2327 8818 Fax: 2327 8808,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ChukYuenSouthEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lower Wong Tai Sin (2) Estate,Wong Tai Sin,Kowloon,22.33989,114.19119,Public Rental Housing,1982,Double H  Harmony 3  Old Slab  Single H,15,Lung Fook House Lung Gut House Lung Hing House Lung Kwong House Lung Lok House Lung On House Lung Shing House Lung Cheong House Lung Chi House Lung Fai House Lung Hei House Lung Moon House Lung Tai House Lung Wai House Lung Wo House,6 700 As at 30.6.2025,13.5 - 59.4,Formed,Wong Tai Sin District Tenancy Management Office  G/F  Lung Chi House  Lower Wong Tai Sin (II) Estate  Wong Tai Sin Telephone: 2326 8962 Fax: 2326 6143,Pioneer Management Ltd. G/F  Lung Wai House  Lower Wong Tai Sin (II) Estate  Wong Tai Sin Telephone: 2726 5675 Fax: 2351 9194,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LowerWongTaiSin2Estate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Fung Tak Estate,Wong Tai Sin,Kowloon,22.34489,114.20121,Tenants Purchase Scheme,1991,New Slab  Trident 3  Trident 4,7,Ban Fung House Chu Fung House Ngan Fung House Pik Fung House Suet Fung House Toi Fung House Tsz Fung House,800 * As at 30.6.2025,Gross Floor Areas (sqm):15.3 - 71.8;Saleable Areas (sqm):11.7 - 55.6,Not applicable (Owners' Corporation Formed),Tsz Wan Shan District Tenancy Management Office Unit 211-224  Ban Fung House  Fung Tak Estate  Diamond Hill Telephone: 2324 0096 Fax: 2752 8665  Fung Tak Estate Tenants Service Management Office Funing Property Management Ltd. Room 211-224  Ban Fung House  Fung Tak Estate  Diamond Hill Telephone: 3568 0086 Fax: 2321 0733,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only
Lok Fu Estate,Wong Tai Sin,Kowloon,22.33818,114.18666,Public Rental Housing,1984,Harmony 1  Linear 3  New Slab,11,Lok Tai House Lok Him House Lok Man House Lok Tsui House Lok Tung House Wang Hong House Wang Lok House Wang Shun House Wang Tat House Wang Yuk House Wang Yat House,3 700 As at 30.6.2025,12.2 - 57.7,Formed,Lok Fu Estate Office Podium Level 1  Hong Kong Housing Authority Customer Service Centre  3 Wang Tau Hom South Road  Kowloon. Telephone: 2336 5144 Fax: 2337 6523,Lok Fu Estate Office Podium Level 1  Hong Kong Housing Authority Customer Service Centre  3 Wang Tau Hom South Road  Kowloon. Telephone: 2336 5144 Fax: 2337 6523,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LokFuEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Yau Tong Estate,Kwun Tong,Kowloon,22.29744,114.23853,Public Rental Housing,2000,Harmony 1  New Cruciform Block,5,Fu Tong House  Kwai Tong House Wing Tong House Wah Tong House Mei Tong House,3 600 As at 30.6.2025,16.3 - 53.7,Formed,Housing Department Kowloon East (2) District Tenancy Management Office G/F  Fu Tong House  Yau Tong Estate  Kowloon Telephone: 2349 4189 Fax: 2174 5187,Creative Property Services Consultants Ltd. G/F  Fu Tong House  Yau Tong Estate  Yau Tong  Kowloon Telephone: 2349 4189 Fax: 3194 0310 E-mail: yat@cpsc.hk,-,-,<a href= /en/common/pdf/global-elements/estate-locator/YauTongEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Hung Hom Estate,Kowloon City,Kowloon,22.30736,114.18906,Public Rental Housing,1999  2011,Harmony 3  Small Household Block   Non-Standard Block,5,Hung Hom Estate (Phase 1) Hung Fai House Hung Sing House  Hung Hom Estate (Phase 2) Hung Yat House Hung Yan House Hung Yiu House,2 800 As at 30.6.2025,14.05 - 52.2,Formed,Kowloon West & Sai Kung District Tenancy Management Office(1) G/F  Nga Man House  Homantin Estate  Kowloon Tel: 2242 0277 Fax: 2194 1305,Good Excel Property Consultants Ltd. G/F  Hung Fai House  Hung Hom Estate  Hung Hom Telephone: 2365 2387  Fax: 2954 4384,Hung Hom Estate (Phase 1) Carpark Owned and operated by private corporation  Hung Hom Estate (Phase 2) Carpark Good Excel Property Consultants Ltd. G/F  Hung Fai House  Hung Hom Estate  Hung Hom Telephone: 2365 2387  Fax: 2954 4384,-,<a href= /en/common/pdf/global-elements/estate-locator/HungHomEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Shatin Pass Estate,Wong Tai Sin,Kowloon,22.34964,114.19499,Public Rental Housing,2011,Non-Standard Block,2,Wo Tin House Shun Tin House,1 300 As at 30.6.2025,17.42 - 39.88,Formed,Tsz Ching Estate Office G/F  Ching Hong House  Tsz Ching Estate  Tsz Wan Shan Tel: 2325 0104 Fax: 2351 4358,Pioneer Management Limited G/F Wo Tin House  Shatin Pass Estate Tel: 3563 5640 Fax: 3563 5647,Pioneer Management Limited,-,<a href= /en/common/pdf/global-elements/estate-locator/ShatinPassEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Choi Ying Estate,Kwun Tong,Kowloon,22.32756,114.21542,Public Rental Housing,2008,New Harmony 1,5,Ying Fu House Ying On House Ying Hong House Ying Lok House Ying Shun House,4 000 As at 30.6.2025,17.99 to 39.59,Formed,Housing Department Kowloon East (6) District Tenancy Management Office (Sub-office) Podium Level 3  Ning Wah House  Lok Wah (North) Estate  Ngau Tau Kok  Kowloon Telephone: 3499 1194 Fax: 3499 1153,Easy Living Consultant Limited G/F  Ying Fu House  Choi Ying Estate  Kowloon Telephone: 2331 2845 Fax: 2755 1311,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiYingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Ping Shek Estate,Kwun Tong,Kowloon,22.33356,114.2096,Public Rental Housing,1970,Old Slab  Single Tower,7,Hung Shek House Kam Shek House Lam Shek House Tsuen Shek House Tsui Shek House Wong Shek House Yuk Shek House,4 600 As at 30.6.2025,30.6 - 38.8,Formed,Housing Department Ping Shek Estate Office 2/F  Yuk Shek House  Ping Shek Estate  Kowloon Telephone: 2323 8121 Fax: 2351 4367,Housing Department Ping Shek Estate Office 2/F  Yuk Shek House  Ping Shek Estate  Kowloon Telephone: 2323 8121 Fax: 2351 4367,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/PingShekEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Nam Cheong Estate,Sham Shui Po,Kowloon,22.32642,114.15827,Tenants Purchase Scheme,1989,Linear 1  Linear 3,7,Cheong Chung House Cheong Him House Cheong Chit House Cheong On House Cheong Shun House Cheong Yat House Cheong Yin House,400 * As at 30.6.2025,Gross Floor Areas (sqm):19.3 - 70.8 Saleable Areas (sqm): 13.5 - 49.4,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(11) G/F  Lai Mei House  Lai Kok Estate   Sham Shui Po Tel: 2361 0070 Fax: 2148 2463  Nam Cheong Estate Tenants Service Management Office   Good Excel Property Consultants Ltd. No.8-9 G/F.  Cheong On House  Nam Cheong Estate  Shamshuipo  Kowloon  Tel: 2386 9311  Fax: 2386 9334,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only
Fu Cheong Estate,Sham Shui Po,Kowloon,22.32861,114.15465,Public Rental Housing,2001,Harmony 1  Senior Citizens  Single Aspect Building,10,Fu Hoi House Fu Leung House Fu Loy House Fu Sing House Fu Wong House Fu Wen House Fu Yee House Fu Ying House Fu Yun House Fu Yuet House,6 000 As at 30.6.2025,9.6 - 52.1,Formed,Fu Cheong Estate Office G/F  Fu Ying House  Fu Cheong Estate  Sham Shui Po  Kowloon Tel: 2361 8181 Fax: 2361 3030,Fu Cheong Estate Office G/F  Fu Ying House  Fu cheong Estate   Sham Shui Po  Kowloon Telephone: 2361 8181 Fax: 2361 3030,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/FuCheongEstate-barrier-free-en_2021.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lai Kok Estate,Sham Shui Po,Kowloon,22.33224,114.15681,Public Rental Housing,1981,Old Slab  Triple I,8,Lai Fu House Lai Huen House Lai Ho House Lai Kuk House Lai Kwai House Lai Lan House Lai Lo House Lai Mei House,3 000 As at 30.6.2025,11.2 - 39.4,Formed,Lai Kok Estate Office 1/F  Lai Kwai House  Lai Kok Estate   Sham Shui Po Telephone: 2361 0217 (24-Hr Telephone 2304 3657)  Fax: 2748 7093,Lai Kok Estate Office 1/F  Lai Kwai House  Lai Kok Estate   Sham Shui Po Telephone: 2361 0217 (24-Hr Telephone 2304 3657)  Fax: 2748 7093,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LaiKokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lai On Estate,Sham Shui Po,Kowloon,22.33077,114.15847,Public Rental Housing,1993,Harmony 1,5,Lai Ching House Lai Lim House Lai Ping House Lai Tak House Lai Wing House,1 400 As at 30.6.2025,13.1 - 43.6,Formed,Lai On Estate Office G/F  Lai Ping House   Lai On Estate  Sham Shui Po  Telephone: 2725 5750  (24-Hr Telephone 2720 0275) Fax: 2708 3870,Lai On Estate Office G/F  Lai Ping House   Lai On Estate  Sham Shui Po  Telephone: 2725 5750 (24-Hr Telephone 2720 0275) Fax: 2708 3870,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LaiOnEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
