ID,estate_chi,estate_eng,HousingType,Latitude,Longitude,adhz,t_pop,age_1,age_2,age_3,age_4,age_2-4,age_5,born_chi,born_else,born_hk,dh,dhc_nc,dhc_oth,dhc_re,dhi_sb_1,dhi_sb_2,dhi_sb_3,dhi_sb_4,dhi_sb_e1,dhi_sb_e2,dhi_sb_e3,dhi_sb_e4,dhm_loan,dhm_lr,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,dm_r,dmr_ir,edu_pri_be,edu_psec,edu_sec,estate,ethn_chi,ethn_ind,ethn_oth,ethn_phi,ethn_wh,fa_m,ma_econhh,ma_f,ma_hh,ma_m,mearn_xfdhfw_sb_1,mearn_xfdhfw_sb_2,mearn_xfdhfw_sb_3,mearn_xfw_sb_1,mearn_xfw_sb_2,mearn_xfw_sb_3,ms_m_f,ms_ma_m,ms_nm_f,ms_nm_m,ms_wds_f,ms_wds_m,nwp_care,nwp_hm,nwp_oth,nwp_re,nwp_st,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_hm,plw_nofix,plw_out,plw_same,pop_f,pop_m,readchi_ablepctn,readeng_ablepctn,s_diff_oth,sr,t_ma,t_mmearn,t_mmearn_xfdh,t_nwp,t_wp,ul_can,ul_eng,ul_oth,ul_othchi,ul_put,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,wp_a,wp_b,wp_c,wp_d,wp_e,wp_ee,wp_er,wp_f,wp_fw,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_se,wp_t,writechi_ablepctn,writeeng_ablepctn,Shape_Length,Shape_Area
C_011,康華苑,Hong Wah Court,HOS,22.31401752,114.2400131,2.5,3904,442,208,1357,1245,2810,652,879,209,2816,1564,994,361,209,265,256,387,656,91,195,371,656,9140,21.6,352,497,394,234,87,-,11000,39.4,612,1342,1508,20046,3721,41,78,64,-,35,39310,46.8,30200,41.8,203,701,1183,315,701,1183,1072,1025,504,337,442,82,48,171,321,697,468,42,64,41,336,507,362,338,52,127,244,-,569,2206,1698,94.6,74,-,770,44,20000,20000,1705,2199,3556,76,10,65,22,132,239,843,771,185,29,268,326,412,418,278,2028,21,161,-,91,245,-,80,153,277,148,167,154,179,266,601,154,150,20,92.7,72.9,472.9308608,13025.83077
C_012,康逸苑,Hong Yat Court,HOS,22.31059036,114.2344553,3.1,4839,610,409,1032,1968,3409,820,1308,253,3278,1563,969,186,408,162,109,539,753,66,95,496,753,6500,16.7,158,441,411,300,162,91,**,**,603,1596,2030,20047,4636,77,28,98,-,47,43720,47.2,37520,46.9,256,814,1334,431,814,1334,1361,1167,845,414,312,130,88,239,229,812,892,81,260,103,474,715,479,275,41,199,326,20,524,2771,2068,94.4,74.5,-,746,47.1,20000,20000,2260,2579,4583,98,13,74,26,113,221,886,946,251,162,308,288,511,485,514,2257,45,103,-,103,267,-,109,156,500,208,76,112,219,376,548,251,277,24,92.2,71.7,617.7732857,20401.28075
C_013,瓊山苑,King Shan Court,HOS,22.34181367,114.2097494,2.7,3999,395,177,852,1412,2441,1163,772,254,2973,1502,1160,164,178,270,238,468,526,88,200,451,492,10700,22.4,118,577,580,155,72,-,12000,17,609,1276,1719,20065,3792,123,38,46,-,40,29340,52,27700,55,210,608,938,379,608,938,1190,1117,619,326,280,72,56,222,183,1135,478,15,221,30,272,281,621,316,84,189,292,25,117,2375,1624,93.3,74.7,-,684,53.9,18000,20000,2074,1925,3809,55,32,18,33,163,109,604,750,174,125,242,295,374,286,334,1701,30,115,-,45,234,-,43,75,244,88,160,140,154,312,378,297,194,34,91.3,72.8,907.4730621,24241.3995
C_014,嘉峰臺,Kingsford Terrace,HOS,22.34042546,114.2111569,3,5698,586,570,1546,1977,4093,1019,1842,211,3645,1906,1387,229,290,226,220,480,980,41,204,456,980,7000,17.8,229,406,685,413,106,67,**,**,704,2066,2342,20068,5518,18,13,149,-,55,45800,47.6,41180,44.9,390,877,1552,512,877,1552,1550,1518,952,673,362,57,117,305,357,1022,956,89,423,74,475,682,1021,416,51,178,368,27,198,3092,2606,94.9,74.1,20,843,46.7,20000,20000,2757,2941,5093,189,5,214,101,202,216,1104,1035,213,171,369,244,726,622,380,2681,91,190,-,157,253,-,71,274,518,238,219,139,197,442,550,283,169,10,92.9,72.5,733.4368339,20294.60706
C_015,高俊苑,Ko Chun Court,HOS,22.29842937,114.2421808,2.9,4432,392,364,1003,1827,3194,846,958,188,3286,1543,1110,194,239,169,188,546,640,29,142,503,640,10000,21.4,185,438,522,248,116,34,3590,6.8,669,1311,2060,20069,4238,86,30,78,-,55,37430,51.2,32440,49.5,149,1117,1012,313,1117,1012,1212,1169,650,521,428,60,84,214,231,971,490,43,134,101,257,667,440,254,62,263,311,39,406,2432,2000,93.2,74.4,-,822,50.6,17100,18000,1990,2442,4128,84,32,48,16,96,179,960,694,320,193,226,273,418,571,451,2178,15,85,-,99,319,-,62,180,328,224,161,99,208,439,444,284,249,13,91.8,70.8,672.5326455,25755.18117
C_016,鯉安苑,Lei On Court,HOS,22.30891462,114.2324259,3.1,4909,618,369,1434,1585,3388,903,1420,357,3132,1592,1078,192,322,251,183,416,742,88,100,396,730,7500,15.4,192,330,536,286,183,65,**,**,606,1652,2033,20078,4585,134,11,179,-,60,42070,46.2,36960,43.5,229,569,1359,477,569,1359,1452,1219,618,545,315,142,99,218,528,921,738,142,160,94,400,528,544,277,40,287,326,9,394,2630,2279,92.4,75.3,-,867,45.3,20000,20000,2504,2405,4340,179,46,96,55,125,189,1027,744,192,128,229,240,508,560,268,2185,58,187,-,107,306,-,86,238,368,244,105,61,234,349,389,318,162,13,90.1,73.7,598.8454997,19442.38701
C_017,樂雅苑,Lok Nga Court,HOS,22.32304899,114.2200991,2.5,3179,349,112,945,950,2007,823,743,126,2310,1251,846,234,171,305,179,300,467,46,116,277,467,11980,24.9,192,464,384,164,31,16,12500,45.1,403,1120,1307,20080,3109,51,6,13,-,42,40570,52.2,28210,50,84,524,835,129,524,835,952,880,383,292,265,58,77,206,263,736,409,6,113,34,277,457,311,135,37,56,148,45,299,1745,1434,96,77.7,-,822,51,21250,21250,1691,1488,2993,-,27,46,56,52,105,541,621,129,40,144,163,416,365,223,1370,50,62,-,-,115,-,68,86,224,88,101,61,112,311,307,130,68,-,94.3,74.8,520.6544958,15059.37666
C_018,龍蟠苑,Lung Poon Court,HOS,22.34210453,114.2002358,2.5,8550,757,372,2470,3081,5923,1870,1581,341,6628,3463,2241,830,392,723,520,1048,1172,120,385,965,1172,9500,15.5,764,1130,943,457,145,24,13000,41.5,1467,2793,3533,20083,8186,180,86,60,38,39,36070,53,27010,53.2,483,1571,2212,723,1571,2212,2432,2290,1308,956,630,177,210,344,621,2048,821,49,298,142,354,1012,1534,563,165,287,485,28,432,4781,3769,94.5,71,-,788,53.1,19000,20000,4044,4506,7990,105,59,77,61,275,251,1875,1372,504,229,346,782,1052,734,730,4032,86,229,-,230,403,-,87,225,543,296,159,367,370,846,1095,469,388,49,93,69.3,860.2905328,38814.14119
C_019,寶佩苑,Po Pui Court,HOS,22.31750076,114.2279714,3,4950,286,361,1073,1829,3263,1401,1621,271,3058,1647,959,242,446,290,295,426,636,101,176,416,636,10560,20.7,201,473,480,280,92,121,**,**,1011,1426,2227,20099,4638,184,59,33,36,51,39130,55.5,31820,56.3,328,852,1132,524,852,1132,1421,1356,747,610,390,140,100,265,390,1289,398,40,116,47,217,436,474,254,51,206,516,20,551,2734,2216,94,64.4,-,811,55.9,18000,19500,2442,2508,4693,82,13,79,27,131,237,998,690,326,126,122,355,513,401,538,2297,23,92,-,173,314,-,63,109,476,231,197,208,185,282,511,236,188,10,89.8,61.3,707.836695,22534.13789
C_020,采頤花園,Rhythm Garden,HOS,22.3363155,114.2025524,3.1,8980,801,833,1976,3597,6406,1773,2917,415,5648,2909,1989,295,625,336,307,1038,1228,36,286,1000,1215,8500,21.1,273,729,861,675,285,86,**,**,1624,2518,4037,20101,8619,192,70,99,-,55,39130,49.6,35420,49.9,458,1756,2162,726,1756,2162,2679,2459,1294,1026,576,145,138,387,667,1894,1236,110,473,124,575,876,1508,678,180,320,635,66,395,4890,4090,94.3,70.7,24,836,49.7,18490,19000,4322,4658,8279,116,28,274,108,284,346,1707,1675,406,240,426,500,1156,771,730,4185,103,301,14,183,583,8,178,415,649,477,245,269,359,702,913,428,356,23,92.3,68.1,813.0223761,35126.21905
C_021,麗晶花園,Richland Gardens,HOS,22.32994641,114.206744,2.6,14586,1542,482,4791,4471,9744,3300,2523,995,11068,5691,3785,1368,538,1216,723,1349,2403,229,544,1288,2403,12000,21.4,1128,1777,1578,979,171,58,13000,25,2170,5343,5531,20102,13600,365,335,286,-,40,41520,49.4,31880,45.2,631,1897,4327,1333,1897,4327,4296,3941,1582,1546,1437,242,354,695,1098,3280,1602,72,672,195,782,1744,1692,801,86,784,769,48,1633,8008,6578,94.4,78,18,821,47.5,21360,25000,7029,7557,13079,345,157,235,191,450,418,3027,2644,653,365,948,1211,1744,1255,757,6916,166,251,-,204,1187,-,239,582,1017,337,338,309,799,1351,1633,910,475,42,92.4,75,960.2458127,45412.22522
C_022,順緻苑,Shun Chi Court,HOS,22.33232766,114.2269977,2.6,3947,367,248,996,1334,2578,1002,818,336,2793,1500,995,337,168,326,263,332,579,61,183,310,568,10000,17.6,287,464,371,271,107,-,3500,8.7,645,1355,1580,20107,3630,146,40,118,13,45,40050,49.4,28290,50.5,135,536,1096,387,536,1096,1224,1083,523,418,241,91,52,188,247,906,522,65,132,49,247,337,427,391,55,275,190,11,346,2131,1816,93.6,75.6,15,852,49.9,20000,21000,1915,2032,3624,148,26,-,56,163,118,849,592,180,130,196,325,463,320,296,1868,70,63,13,23,346,-,92,137,278,59,88,112,60,402,450,354,81,-,89.1,74.8,1437.303524,41494.23078
C_023,天馬苑,Tin Ma Court,HOS,22.34326873,114.1865045,2.3,6034,423,434,1787,2172,4393,1218,987,116,4931,2639,1686,668,285,691,370,862,716,130,312,862,716,8400,18.9,648,938,730,295,28,-,12500,34.9,916,2124,2571,20124,5905,29,73,27,-,34,32100,50.7,25170,50.5,387,998,1663,443,998,1663,1838,1651,810,739,493,80,126,366,605,1211,622,63,275,79,217,501,1346,537,89,71,327,-,233,3386,2648,97.2,74,-,782,50.6,20000,20000,2930,3104,5537,63,35,44,131,203,248,1383,929,238,103,150,425,709,530,613,2837,52,194,-,211,272,-,53,105,598,350,211,232,255,457,666,164,215,13,96.2,71.5,1059.189372,42229.24251
C_024,翠竹花園,Tsui Chuk Garden,HOS,22.3462203,114.1877529,3,10071,1005,504,2626,3703,6833,2233,2799,675,6597,3385,2224,448,713,691,507,1025,1162,164,419,1013,1142,8900,23,390,1001,890,661,328,115,12000,37.9,1893,2747,4426,20131,9643,244,72,112,-,55,35600,48.7,30430,51.5,397,1745,2285,753,1745,2285,2851,2665,1260,1269,729,292,247,576,946,2356,1163,52,527,91,479,755,1581,675,102,411,919,5,335,5438,4633,94.5,67.8,14,852,50.3,18000,20000,5288,4783,9310,91,68,189,57,307,295,1528,1789,553,311,243,452,920,828,933,4427,93,319,-,241,819,28,179,555,907,361,291,142,239,656,942,511,263,-,91.5,64.7,1222.435386,55626.71503
C_025,慈愛苑,Tsz Oi Court,HOS,22.35051523,114.199012,3,11614,1167,1324,2225,4883,8432,2015,2702,502,8410,3883,2677,524,682,707,406,1037,1733,197,348,991,1733,7200,20.7,473,965,1206,772,406,61,11000,222.8,1722,3854,4871,20134,11130,194,125,165,-,51,41110,48.7,36070,49.8,610,1994,2981,976,1994,2981,3345,3072,1550,1466,811,203,215,596,909,2036,1895,147,733,207,881,1142,1979,786,150,385,793,128,600,6351,5263,94,74.4,-,829,49.2,20000,20000,5651,5963,10817,177,104,218,57,280,440,2234,2084,627,298,551,517,1460,1169,1012,5353,169,405,12,198,641,10,367,399,1065,481,336,157,446,879,1283,521,429,29,91.9,72,1240.544345,46431.04413
C_026,油翠苑,Yau Chui Court,HOS,22.30033215,114.2380226,3.2,4499,516,245,1358,1376,2979,1004,1655,291,2553,1420,804,150,466,206,157,404,653,65,118,395,653,7200,16.9,128,307,403,405,149,28,**,**,775,1281,1927,20150,4296,86,31,86,-,51,40040,46.3,36330,46.3,117,552,1228,307,552,1228,1387,1296,471,335,414,80,136,240,393,1017,626,28,161,27,459,529,459,203,57,190,200,49,400,2482,2017,91.2,65.4,-,813,46.3,20000,23000,2412,2087,3962,157,19,173,30,67,104,927,590,332,67,195,218,623,336,234,1776,62,110,-,72,299,-,100,139,342,161,143,129,259,249,284,273,249,8,89.8,65.1,449.2096705,7248.876233
PH_001,澤安邨,Chak On Estate,Public Housing,22.34036661,114.1643426,2.2,3913,327,298,911,1196,2405,1181,1790,228,1895,1746,1100,408,238,609,513,535,89,177,318,535,89,-,-,408,757,375,164,42,-,1560,12.7,1133,519,1934,10004,3707,28,118,60,-,23,21040,51.3,13120,53.8,373,849,368,401,849,368,1033,940,401,551,551,110,101,221,314,1159,484,-,95,50,348,158,429,256,17,48,341,12,373,2205,1708,94.5,52.7,-,775,52.5,13000,13000,2279,1634,3573,73,20,130,103,282,154,302,665,158,73,51,50,175,264,503,1443,6,87,16,75,429,-,34,94,271,157,188,76,31,376,246,161,169,-,92.8,49.7,1103.377262,24727.04318
PH_002,長沙灣邨,Cheung Sha Wan Estate,Public Housing,22.33455573,114.1563831,2.4,3209,521,322,687,992,2001,687,1716,39,1454,1334,822,335,177,506,387,359,82,94,323,352,82,-,-,326,446,335,152,75,-,2010,18.3,627,502,1559,10206,3172,9,12,16,-,21,20120,45.8,15070,49,225,715,227,250,715,227,738,684,292,407,401,166,162,154,261,747,693,46,111,93,451,146,224,186,27,31,390,-,188,1695,1514,97.2,59.4,25,893,47.3,14000,14000,2017,1192,2877,-,14,252,10,65,113,250,546,125,93,31,23,88,175,368,1100,18,120,-,56,325,6,7,204,247,101,138,11,24,227,169,58,74,6,94.6,55.4,410.6554499,10332.93399
PH_003,彩輝邨,Choi Fai Estate,Public Housing,22.3357047,114.2181498,3,3923,399,294,1211,1003,2508,1016,1792,213,1918,1297,718,229,350,277,196,458,366,48,152,458,366,-,-,229,233,367,283,131,54,3140,10.2,815,883,1826,10015,3768,11,96,48,-,43,30370,47.7,25040,44.8,170,1035,585,189,1035,585,959,1030,477,553,418,87,133,202,344,902,533,35,235,81,202,218,760,244,62,46,353,12,114,2091,1832,96.1,61,31,876,45.6,15700,15700,2114,1809,3509,28,63,151,22,194,94,627,622,162,110,113,122,269,253,536,1703,47,202,-,91,223,-,59,301,258,113,192,39,48,321,359,109,59,10,92.8,57.9,643.9357381,23371.88963
PH_004,彩福邨,Choi Fook Estate,Public Housing,22.32815005,114.2170403,2.6,10775,1218,1287,2428,3850,7565,1992,6120,203,4452,4174,2714,790,670,1033,1502,1209,430,326,1252,1209,430,-,-,788,1443,1070,566,246,61,2700,14.5,1890,1720,5947,10016,10556,36,147,36,-,29,20040,47.4,16890,47.5,828,2819,936,842,2819,936,2756,2611,1227,1335,1243,385,322,781,1292,1727,2056,185,495,296,1103,616,1134,414,53,58,1309,19,994,5770,5005,96.4,58.8,28,867,47.5,14750,15000,6178,4597,9369,44,62,876,226,419,414,1075,1714,650,325,91,144,548,535,1630,4206,28,510,-,360,779,-,125,705,668,391,768,97,85,882,609,223,363,44,95.1,53.8,1046.676419,29793.19728
PH_005,彩霞邨,Choi Ha Estate,Public Housing,22.32605888,114.2174838,2.5,5453,375,255,1401,1782,3438,1640,1630,202,3621,2165,1146,591,428,639,424,672,430,86,300,672,430,5610,20.2,569,612,537,278,131,38,1990,12.1,1501,1321,2256,10017,5255,86,66,46,-,41,27910,56.1,20260,53.2,310,1005,932,450,1005,932,1378,1240,707,900,642,211,75,293,637,1567,494,45,108,44,277,280,600,303,133,140,494,-,437,2900,2553,92.3,61,-,880,54.9,15920,16500,3066,2387,5085,51,82,126,24,227,127,844,724,313,152,73,166,431,507,545,2170,-,178,-,120,367,-,129,216,311,334,146,100,92,334,440,274,217,11,89.1,57.7,788.2033986,31086.45671
PH_006,彩虹邨,Choi Hung Estate,Public Housing,22.33547117,114.2062267,2.5,17817,869,1503,4193,5870,11566,5382,8518,781,8518,7203,4338,1682,1183,2227,2103,1968,905,512,1529,1933,905,-,-,1583,2474,1847,887,321,91,1960,11.1,5034,3284,8630,10018,17135,211,324,64,83,31,23640,55.6,16800,55.1,1640,3633,2099,1927,3633,2099,4035,4110,2715,2740,2637,711,467,998,1921,5142,1603,209,596,273,713,1073,2353,813,187,413,1894,92,861,9813,8004,94.2,54.4,47,816,55.4,15000,15000,10131,7686,16510,92,40,836,168,692,865,1998,2721,922,488,235,271,969,1155,2348,7050,114,653,27,483,1547,25,258,886,1313,649,896,151,238,1422,1138,647,495,88,90.6,50.6,1493.001961,87518.59752
PH_007,彩德邨,Choi Tak Estate,Public Housing,22.33026916,114.2136127,2.4,13588,1284,1704,2971,4978,9653,2651,7620,265,5703,5573,3201,1524,848,1685,1553,1656,679,409,1282,1645,679,-,-,1511,1875,1030,722,307,128,2060,14.7,2541,2424,7339,10019,13391,57,133,7,-,22,23040,49,15400,47.6,1204,3392,1496,1268,3392,1496,3408,3578,1591,1767,1492,468,394,728,1449,2524,2337,240,656,353,1140,1004,1561,361,190,88,1718,53,1181,7095,6493,96.5,57.7,19,915,48.6,14500,14500,7432,6156,12062,34,94,1053,87,505,689,1678,2194,738,352,128,161,771,695,2074,5847,-,603,-,372,1352,-,154,1100,903,451,996,80,154,986,893,406,309,33,94.4,53.1,1136.891845,47197.00173
PH_008,彩雲（１）邨,Choi Wan (1) Estate,Public Housing,22.33399414,114.2140005,2.9,16756,1258,1432,4573,5129,11134,4364,7443,520,8793,5762,3457,913,1392,1264,1336,1977,1185,304,911,1955,1168,-,-,875,1461,1502,1456,240,228,2240,9.7,4561,3345,7592,10020,16083,154,473,10,36,35,28040,52.5,21790,47.9,1105,3853,2147,1263,3853,2147,4045,4160,2309,2664,1810,510,468,932,1955,4173,1965,185,749,337,886,1033,2585,758,266,171,1756,65,629,8751,8005,94.4,54.1,64,915,50.3,15000,15000,9493,7263,15238,16,339,715,114,569,751,1908,2653,856,526,202,400,1034,997,2057,6783,18,768,-,485,1281,39,201,922,1147,674,914,208,313,1387,1029,433,462,35,90.8,50.4,2465.068832,102687.0671
PH_009,彩雲（２）邨,Choi Wan (2) Estate,Public Housing,22.33408462,114.2170388,3,8485,803,549,2448,2549,5546,2136,3815,181,4489,2855,1707,338,810,661,418,1078,698,119,369,1078,698,-,-,329,713,798,809,154,52,2000,8.3,2018,1604,4060,10021,8365,40,54,26,-,33,29860,50.8,25620,46.7,463,2001,1391,529,2001,1391,2010,1948,1114,1270,895,445,284,378,823,1974,1105,85,502,188,441,462,1523,380,294,110,855,4,293,4542,3943,94.8,58.4,9,868,49.6,16000,16000,4564,3921,7687,30,57,491,23,168,224,1185,1522,509,313,161,134,703,486,1145,3637,20,419,-,151,722,-,72,759,508,317,407,128,106,825,550,213,264,36,90.7,54.1,1308.509165,38932.28796
