estate_name,district_name,region_name,map_latitude,map_longitude,sold_under,year_of_completion,type_of_block,no_of_blocks,name_of_block,no_of_flats,gross_floor_area_of_flt,saleable_area_of_flats,initial_sale_price,owners_corporation,reg_management_office,property_management,carpark_management,court_website,further_information
Hong Yat Court,Kwun Tong,Kowloon,22.31099,114.23463,22B,2001,Concord,5,Hong King House Hong Nin House Hong Yu House Hong Lai House Hong Ting House,1 600,61 - 78,47 - 60,1005800 - 1921600,Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  101 Sau Mau Ping Road  Kwun Tong  Kowloon Telephone: 2349 1361 Fax: 2389 7462,Hong Yip Service Co. Ltd.  Hong Yat Court Management Office  G/F.  Block A  Hong Yat Court  1  Tak Tin Street  Lam Tin  Kowloon. Telephone: 2354 7273  2354 7232 Fax: 2121 0709 E-mail: hyc135@hongyip.com,Owned and operated by private corporation,-,-
Lei On Court,Kwun Tong,Kowloon,22.30843,114.23261,Phase 24A & Sales of Surplus HOS Flat Phase 3,2002,Concord,6,Lei Hong House Lei Yat House Lei Yan House Lei Yi House Lei King House Lei Ting House,1684,60 - 92,47 - 61,982400 - 2348300,Formed,Housing Department Kowloon East (4) District Tenancy Management Office G/F  Wun Wah House  Lok Wah South Estate  Ngau Tau Kok  Kowloon Telephone: 2755 6613 Fax: 2757 2551,Kai Shing Management Service Ltd. Landscape Podium  Lei On Court  11 Lei Yue Mun Road  Lam Tin Telephone: 2772 2186 Fax: 2772 2189 Web site: http://www.kaishing.com.hk,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/LeiOnCourt-barrier-free-en.pdf  target= _blank >Barrier‐Free Access (BFA) Facilities</a>
Chun Wah Court,Kwun Tong,Kowloon,22.32269,114.21768,11C,1990,Flexi 3,1,Chun Wah Court,232,55 - 59,43 - 46,369400 - 486600,Formed,Housing Department Lok Wah (North) Estate Office & Housing Department Kowloon East (6) District Tenancy Management Office G/F  Ping Wah House  Lok Wah (North) Estate  Kowloon Telephone: 2755 5551 Fax: 2750 8597,Appointed by Owners' Corporation,-,-,-
Hiu Lai Court,Kwun Tong,Kowloon,22.32066,114.22857,16B  17A  17B,1997,Harmony,8,Hiu Tin House Hiu Sing House Hiu Ching House Hiu Fai House Hiu On House Hiu Yat House Hiu Wo House Hiu Shun House,4 864,53 - 82,40 - 60,747600 - 1492700,Formed,Housing Department Kowloon East (4) District Tenancy Management Office  G/F  Wun Wah House  Lok Wah South Estate  Ngau Tau Kok  Kowloon Telephone: 2755 6613 Fax: 2757 2551,Kai Shing Management Services Ltd. Wings B & D   G/F  Hiu Fai Court (Block D)  Hiu Lai Court  21  Hiu Kwong Street  Kwun Tong  Kowloon.  Telephone: 2727 7889 Fax: 2727 7329,Wilson Parking (HK) Ltd. Room 2901  Metroplaza  Tower 1  Kwai Fong Telephone: 2487 6138 Fax: 2428 6026 Web site: www.wilsonparking.com.hk E-mail: wphk@wilsonparking.com.hk,-,-
Ko Chun Court,Kwun Tong,Kowloon,22.29906,114.24214,15A  15B,1995,Harmony,5,Chun Wui House Chun Ying House Chun Moon House Chun Yat House Chun Mau House,1 616,54 - 81,39 - 59,724200 - 1319700,Formed,Housing Department Kowloon East (2) District Tenancy Management Office  G/F  Ko Yuet House   Ko Yee Estate  Kowloon. Telephone: 2772 0462 Fax: 2952 9120,Hong Yip Service Co.  Ltd. G/F  Chun Yat House  Ko Chun Court  Yau Tong Telephone: 2347 2788 Fax: 2349 6490 Web site: http://www.hongyip.com.hk,Owned and operated by private corporation,-,-
Po Pui Court,Kwun Tong,Kowloon,22.31771,114.22767,15C,1995,NCB,5,Po Shan House Po Wu House Po Ying House Po Chui House Po Yiu House,1 750,47 - 76,37 - 59,747200 - 1521700,Formed,Housing Department Lok Wah (North) Estate Office & Housing Department Kowloon East (6) District Tenancy Management Office G/F  Ping Wah House  Lok Wah (North) Estate  Kowloon Telephone: 2755 5551 Fax: 2750 8597,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Cheung Wo Court,Kwun Tong,Kowloon,22.31969,114.22703,5B,1984,Slab / Flexi 1  2,6,Wo Kwan House Wo Yuet House Wo Shing House Wo Kin House Wo Hang House Wo Tung House,1 584,46 - 63,38 - 52,148200 - 305800,Formed,"Housing Department Kowloon East (1) District Tenancy Management Office G/F.  Wing B  Kai Yan House  Kai Tin Estate  Lam Tin  Kowloon Telephone: 3749 9440		 Fax: 3749 9439",Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911  Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/CheungWoCourt-barrier-free-en.pdf  target= _blank >Barrier‐Free Access (BFA) Facilities</a>
Yau Tong Centre,Kwun Tong,Kowloon,22.2947,114.23835,1,1981,Private Sector Participation Scheme,9,Tower 1 - Tower 9,506,45 - 64,37 - 55,82416 - 159300,Formed,Housing Department Shun On Estate Office G/F  On Chung House  Shun On Estate  Kwun Tong  Kowloon Telephone: 2342 8259 Fax: 2763 6041,Appointed by Owners' Corporation,-,-,-
Hong Ying Court,Kwun Tong,Kowloon,22.30811,114.23825,12A,1991,Trident 3,1,Hong Ying Court,816,46 - 64,35 - 49,306700 - 531500,Formed,Housing Department Shun On Estate Office G/F  On Chung House  Shun On Estate  Kwun Tong  Kowloon Telephone: 2342 8259 Fax: 2763 6041,Appointed by Owners' Corporation,-,-,-
Hong Tin Court,Kwun Tong,Kowloon,22.30771,114.23472,3A,1982,Flexi 1,3,Yue Hong House Wo Hong House Kei Hong House,792,43 - 59,37 - 51,181700 - 303400,Formed,Housing Department Shun On Estate Office G/F  On Chung House  Shun On Estate  Kwun Tong  Kowloon Telephone: 2342 8259 Fax: 2763 6041,Urban Property Management Limited Management Office  G/F.  Wo Hong House  Hong Tin Court  31-47 Kai Tin Road  Lam Tin  Kowloon. Telephone: 2717 1621 Fax: 2709 6279 Web site: http: //www.urban.com.hk E-mail: info@urban.com.hk,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/HongTinCourt-barrier-free-en.pdf  target= _blank >Barrier‐Free Access (BFA) Facilities</a>
Hong Pak Court,Kwun Tong,Kowloon,22.30191,114.24085,13B,1993,NCB,7,Chung Pak House Lung Pak House Cheung Pak House Shui Pak House Yan Pak House Wing Pak House Kam Pak House,2 410,47 - 76,37 - 59,530100 - 1102700,Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  101 Sau Mau Ping Road  Kwun Tong  Kowloon Telephone: 2349 1361 Fax: 2389 7462,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Hong Shui Court,Kwun Tong,Kowloon,22.30132,114.24081,19C,1999,NCB,1,Hong Shui Court,350,46 - 74,37 - 59,887300 - 2109100,Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  101 Sau Mau Ping Road  Kwun Tong  Kowloon Telephone: 2349 1361 Fax: 2389 7462,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Hong Wah Court,Kwun Tong,Kowloon,22.31386,114.23992,8C,1987,Windwill,3,Wang Hong House Yee Hong House Chung Hong House,1 680,43 - 53,32 - 39,154400 - 286800,Formed,Housing Department Kowloon East (5) District Tenancy Management G/F  Lee Foo House  Shun Lee Estate  Kwun Tong  Kowloon Telephone: 2341 8286 Fax: 2763 6066,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/HongWahCourt-barrier-free-en.pdf  target= _blank >Barrier‐Free Access (BFA) Facilities</a>
Ka Keung Court,Wong Tai Sin,Kowloon,22.34164,114.18462,18B  20B,1998,NCB,2,Ka Wui House Ka Ying House,610,46 - 74,37 - 59,893600 - 1943000,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/KaKeungCourtCarpark-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lok Nga Court,Kwun Tong,Kowloon,22.32312,114.2197,5A,1984,Flexi 2,6,Nga Yat House Nga Ching House Nga Tsui House Nga Yee House Nga Wo House Nga Ping House,1 331,48 - 54,40 - 44,191500 - 254200,Formed,Housing Department Lok Wah (North) Estate Office & Housing Department Kowloon East (6) District Tenancy Management Office G/F  Ping Wah House  Lok Wah (North) Estate  Kowloon Telephone: 2755 5551 Fax: 2750 8597,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Richland Gardens,Kwun Tong,Kowloon,22.32974,114.20698,6B,1985,Private Sector Participation Scheme,22,Block 1 - Block 22,5 904,43 - 57,37 - 50,188300 - 340600,Not Yet Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  101 Sau Mau Ping Road  Kwun Tong  Kowloon Telephone: 2349 1361 Fax: 2389 7462,Shui On Property Management Ltd. G/F  Block 9  Richland Gardens  Kowloon Bay Telephone: 2754 7600 Fax: 2305 4638 Email: sopm@shuion.com.hk,-,-,-
Rhythm Garden,Wong Tai Sin,Kowloon,22.33599,114.20194,21B,2000,Private Sector Participation Scheme,12,Block 1 - Block 12,3 000,46 - 64,40 - 55,878800 - 1767800,Not Yet Formed,Tsz Ching Estate Office  G/F  Ching Hong House  Tsz Ching Estate  Telephone: 2325 0104  Fax: 2351 4358,Urban Property Management Ltd. G/F  Block 10  Rhythm Garden  No. 242 Choi Hung Road  San Po Kong Telephone: 2142 4000 Fax: 2142 4101,-,-,-
Tsz Oi Court,Wong Tai Sin,Kowloon,22.34987,114.19812,17A  17B  20B,1997  2000,New Cruciform  Concord,12,Tsz Oi Court Stage I & II Oi Wai House Oi Yin House Oi Kan House Oi Ning House Oi Yan House Oi Chung House  Tsz Oi Court Stage III Oi Fu House Oi Yue House Oi Wing House Oi Wah House Oi Hong House Oi Cheung House,4 020,46 - 79,37 - 60,748500 - 2094600,Formed,Tsz Ching Estate Office  G/F  Ching Hong House  Tsz Ching Estate  Telephone: 2325 0104  Fax: 2351 4358,Tsz Oi Court Stage I & II Hong Yip Service Company Limited G/F  Oi Yin House  Tsz Oi Court 2 Wan Wah Street  Tsz Wan Shan Tel: 2322 9221 Fax: 2329 3677  Tsz Oi Court Stage III Guardian Property Management Ltd G/F  Property Management Office  Tsz Oi Court Phase 3  No 120  Tsz Wan Shan Raod.  Tsz Wan Shan. Tel: 3149 5655 Fax: 3149 5658,Owned and operated by private corporation,-,-
Tsz On Court,Wong Tai Sin,Kowloon,22.34825,114.20129,15A  17B,1994  1997,Harmony,2,On Yan House On Hong House,972,55 - 83,38 - 60,749600 - 1379300,Formed,Tsz Ching Estate Office  G/F  Ching Hong  House  Tsz Ching Estate  Tsz Wan Shan  Telephone: 2325 0104  Fax: 2351 4358,Appointed by Owners' Corporation,-,-,-
Hong Keung Court,Wong Tai Sin,Kowloon,22.33717,114.18952,20A,1999,Harmony,1,Hong Keung Court,640,53 - 80,39 - 60,809600 - 1892800,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Kai Tai Court,Kwun Tong,Kowloon,22.32829,114.2107,4A,1983,Old-Cruciform,4,Kai Pong House Kai On House Kai Hong House Kai Fan House,624,62 - 62,50 - 50,203100 - 240700,Formed,Housing Department Kai Yip Estate Office G/F  Kai Yin House  Kai Yip Estate  Kowloon Telephone: 2757 3710 Fax: 2757 2471,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/KaiTaiCourt-barrier-free-en.pdf  target= _blank >Barrier‐Free Access (BFA) Facilities</a>
Choi Fung Court,Wong Tai Sin,Kowloon,22.33492,114.21306,18A,1997,Harmony,1,A,608,53 - 80,39 - 60,760600 - 1524700,Formed,Choi Wan (1) Estate Tenancy Management Office  Unit 108-115  G/F  Boon Yuet House  Choi Wan Estate  Telephone: 2750 7211 Fax: 2750 8477,Appointed by Owners' Corporation,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiFungCourtCarpark-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>
Fu Keung Court,Wong Tai Sin,Kowloon,22.34044,114.18437,11C  13A  14C,1991,NCB,6,Fu Yue House Fu Ning House Fu Hong House Fu Wo House Fu Yat House Fu Nga House,1 370,47 - 78,37 - 59,319700 - 1587200,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Hong Yip Service Conpany Limited (Block A);  Shui On Property Management Company Limited (Blocks B & C); ISS EastPoint Properties Limited (Blocks D  E & F) G/F.  Fu Yue House  Fu Keung Court  8 Fu Mei Street  Wang Tau Hom (Block A);  G/F.  Fu Ning House  Fu Keung Court  8 Fu Mei Street  Wang Tau Hom (Block B & C);  G/F.  Fu Wo House  Fu Keung Court  8 Fu Mei Street  Wang Tau Hom (Block D  E & F) Telephone: 2337 2172 (Block A);                  2338 4966 (Block B & C);                   2336 3316 (Block D E & F) Fax: 2794 9997 (Block A);         2338 4922 (Block B & C);          2336 0299 (Block D  E & F),Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/FuKeungCourtCarpark-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>
