Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information,Estate_Name match,No. of PRH Flats,Authorized Population,Households
Lei Muk Shue (1) Estate,Tsuen Wan,New Territories,22.37706,114.13539,Public Rental Housing,1999,Harmony 1,3,Fung Shue House Toa Shue House Yeung Shue House,2 300 As at 30.6.2025,16.3 - 52.2,Formed,Wong Tai Sin  Tsing Yi and Tsuen Wan District Tenancy Management Office (7) Podium  Wing C  Kwai Shue House  Lei Muk Shue (II) Estate  Tsuen Wan Telephone: 2423 7680 Fax: 2423 6854,Creative Property Services Consultants Limited Rm 109-116  G/F  Chuk Shue House  Lei Muk Shue (2) Estate  Tsuen Wan. Telephone: 2418 2831 Fax: 2418 2913,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/LeiMukShue1Estate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lei Muk Shue (I),2300,6200,2300
Lei Muk Shue (2) Estate,Tsuen Wan,New Territories,22.37851,114.13444,Public Rental Housing,1975  1979  1998  1999,Harmony 1  Old Slab  Single Aspect Building,11,Block 1 Block 2 Block 3 Block 4 Block 5 Block 6 Chuk Shue House Kwai Shue House Pak Shue House Yung Shue House Chung Shue House,4 300 As at 30.6.2025,16.3 - 52.2,Formed,Lei Muk Shue (II) Estate Office & Wong Tai Sin  Tsing Yi and Tsuen Wan District Tenancy Management Office (7) Podium  Wing A & C  Kwai Shue House  Lei Muk Shue (II) Estate  Tsuen Wan Telephone: 2423 7458/2423 7680 Fax: 2494 8207/2423 6854,(Blk 1-6  Pak Shue & Yung Shue House) Lei Muk Shue (II) Estate Office Podium  Wing A  Kwai Shue House  Lei Muk Shue (II) Estate  Tsuen Wan. Tel : 2423 7458 Fax : 2494 8207  (Chung Shue  Chuk Shue & Kwai Shue House) Creative Property Services Consultants Limited Rm 109-116  G/F  Chuk Shue House  Lei Muk Shue (2) Estate  Tsuen Wan. Telephone: 2418 2831 Fax: 2418 2913,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/LeiMukShue2Estate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lei Muk Shue (II),4300,11800,4200
Lei Muk Shue Estate,Tsuen Wan,New Territories,22.37906,114.13627,Public Rental Housing,2005,New Harmony 1  New Harmony 1 & Annex Block   Small Household Block,5,Hong Shue House Wing Shue House Chui Shue House   Kin Shue House   Lok Shue House,3 900 As at 30.6.2025,17.4 - 39.7,Formed,Wong Tai Sin  Tsing Yi and Tsuen Wan District Tenancy Management Office (7) Podium  Wing C  Kwai Shue House  Lei Muk Shue (II) Estate  Tsuen Wan Telephone: 2423 7680 Fax: 2423 6854,Creative Property Services Consultants Limited  No 109-116  G/F Chuk Shue House   Lei Muk Shue (II)  Estate   Tsuen Wan. Telephone: 2418 2831 Fax: 2418 2913,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/LeiMukShueEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lei Muk Shue,3900,8800,3900
Ka Fuk Estate,North,New Territories,22.49267,114.13489,Public Rental Housing,1995,Harmony 1  Harmony 3,3,Fuk Lok House Fuk On House Fuk Tai House,2 000 As at 30.6.2025,13.0 - 49.3,Formed,Tai Po  North & Shatin District Tenancy Management Office (6) No. 8  G/F  Tin Long House  Tin Ping Estate  Sheung Shui  N.T. Telephone : 3698 0061 Fax : 3698 0060,Good Excel Property Consultants Ltd.  Wing C  G/F  Fuk On House  Ka Fuk Estate  Fanling Telephone: 2677 0383 Fax: 2677 6637,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/kafukestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Ka Fuk,2000,5600,1900
Upper Ngau Tau Kok Estate,Kwun Tong,Kowloon,22.31868,114.21725,Public Rental Housing,2002   2009,Harmony 1   Single Aspect Building  Non Standard,9,Sheung Mun House Sheung Yuet House Sheung Yat House Sheung Fu House Sheung Hing House Sheung Hong House Sheung Shing House Sheung Tai House Sheung Wing House,6 700 As at 30.6.2025,16.3 - 48.8,Formed,Housing Department Kowloon East (3) District Tenancy Management Office Podium Level 5  Tat Wah House  Lok Wah North Estate  Kwun Tong  Kowloon Telephone: 3543 0304 Fax: 3153 2196,Easy Living Consultant Limited G/F  Sheung Fu House  Upper Ngau Tau Kok Estate  Ngau Tau Kok Telephone: 2751 6006 Fax: 2751 6556,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/UpperNgauTauKokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Upper Ngau Tau Kok,6700,14700,6500
Yue Wan Estate,Eastern,Hong Kong Island,22.26582,114.242,Public Rental Housing,1977  2020,Old Slab  Non-standard,5,Yue Fung House Yue On House Yue Shun House Yue Tai House Yue Chun House,3 000 As at 30.6.2025,14.01 - 56.2,Formed,Yue Wan Estate Office No.19-28  G/F.  Yue Shun House  Yue Wan Estate  Hong Kong Tel : 2557 3281  (24-Hr Telephone : 2515 0278) Fax : 2557 1353,Yue Wan Estate Office No.19-28  G/F.  Yue Shun House  Yue Wan Estate  Hong Kong Tel : 2557 3281  (24-Hr Telephone : 2515 0278) Fax : 2557 1353,Yue Xiu APT Parking Limited 27/F.  Seabright Plaza  9-23 Shell Street   North Point  Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,-,Electric vehicle charging facility of 1 quick charger is provided at a hourly parking space in Yue Wan Estate Carpark   <a href= /en/common/pdf/global-elements/estate-locator/YueWanEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Yue Wan,3000,7800,3000
Fu Tung Estate,Islands,New Territories,22.28692,113.94148,Public Rental Housing,1997,Harmony 1,3,Tung Ma House Tung Po House Tung Shing House,1 700 As at 30.6.2025,16.3 - 52.2,Formed,Islands District Tenancy Management Office G/F.  Mun Shun House  Mun Tung Estate   Tung Chung  Lantau Island  Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Creative Property Services Consultants Ltd. Unit 3  G/F  Tung Ma House  Fu Tung Estate  Tung Chung  Lantau Island Telephone: 2109 0280 Fax: 2109 0020,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/FuTungEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Fu Tung,1700,5000,1700
Nga Ning Court,Islands,New Territories,22.20359,114.02734,Public Rental Housing,2001,Harmony Rural,3,Chun Chak House Leung Chak House Ho Chak House,400 As at 30.6.2025,17.1 - 42.7,Formed,Islands District Tenancy Management Office G/F.  Mun Shun House  Mun Tung Estate   Tung Chung  Lantau Island  Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Creative Property Services Consultants Ltd. G/F  Leung Chak House  Nga Ning Court  Cheung Chau Telephone: 2986 9496 Fax: 2981 9070,-,-,<a href= /en/common/pdf/global-elements/estate-locator/NgaNingCourt-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Nga Ning Court,400,1300,400
Kam Peng Estate,Islands,New Territories,22.28714,114.03718,Public Rental Housing,1996,Harmony Rural,1,Kam Peng House,300 As at 30.6.2025,17.1 - 52.6,Not Yet Formed,Islands District Tenancy Management Office G/F.  Mun Shun House  Mun Tung Estate  Tung Chung   Lantau Island  Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Modern Living Property Management Limited N3  G/F  Kam Peng House  Kam Peng Estate  Peng Chau Telephone: 2983 1522 Fax: 2983 0979 E-mail: kampeng_emo@modernliving.com.hk,-,-,<a href= /en/common/pdf/global-elements/estate-locator/KamPengEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Kam Peng,300,700,200
Yat Tung (1) Estate,Islands,New Territories,22.28055,113.93639,Public Rental Housing,2001,Concord 1  Concord 2  Harmony 1,13,Ching Yat House Hong Yat House Yung Yat House Chi Yat House Chau Yat House Fuk Yat House Heung Yat House Luk Yat House Ping Yat House Sin Yat House Tai Yat House Ying Yat House Yu Yat House,5 600 As at 30.6.2025,16.3 - 51.8,Formed,Islands District Tenancy Management Office G/F.  Hong Yat House  Yat Tung (1) Estate  Tung Chung  Lantau Island  Hong Kong Telephone : 3140 6400 Fax: 3140 6420,Modern Living Property Management Limited G/F  Ching Yat House  Yat Tung (1) Estate  Tung Chung Telephone: 3140 6316 Fax: 3140 6392 E-mail: yattung1_emo@modernliving.com.hk,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/YatTung1Estate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Yat Tung (I),5600,18300,5500
Yat Tung (2) Estate,Islands,New Territories,22.28247,113.93458,Public Rental Housing,2004  2005,NCB  Harmony I,12,Chui Yat House Him Yat House Kan Yat House Kit Yat House Kui Yat House Mei Yat House Mun Yat House Po Yat House Shun Yat House Sui Yat House Tak Yat House Yuet Yat House,6 400 As at 30.6.2025,17.4 - 53.6,Formed,Islands District Tenancy Management Office G/F.  Hong Yat House  Yat Tung (1) Estate  Tung Chung  Lantau Island  Hong Kong Telephone : 3140 6400 Fax: 3140 6420,Modern Living Property Management Limited G/F  Tak Yat House  Yat Tung (2) Estate  Tung Chung Telephone: 3152 3952 Fax: 3152 3953 E-mail: yattung2_emo@modernliving.com.hk,-,-,<a href= /en/common/pdf/global-elements/estate-locator/YatTungIIEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Yat Tung (II),6400,18800,6300
Cheung Fat Estate,Kwai Tsing,New Territories,22.36314,114.10348,Tenants Purchase Scheme,1989,New Slab  Trident 3,4,Chun Fat House King Fat House Leung Fat House Yin Fat House,600 * As at 30.6.2025,9.4 - 40.1,Not applicable (Owners' Corporation Formed),Housing Department Cheung Fat Estate and Cheung On Estate District Tenancy Management Office Unit 105-109  Chun Fat House  Cheung Fat Estate  Tsing Yi Telephone : 2109 0277 Fax: 2109 0276  Cheung Fat and Cheung On Estate Tenants Services Management Office Pioneer Management Ltd Unit 110-112 G/F  Chun Fat House  Cheung Fat Estate  Tsing Yi Telephone : 2433 0277 Fax: 2433 1986,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Cheung Fat,600,1200,600
Lower Ngau Tau Kok Estate,Kwun Tong,Kowloon,22.321114,114.21527,Public Rental Housing,2012  2015,Non-standard,6,Kwai Leung House Kwai Yuet House Kwai Hin House Kwai Sun House Kwai Fai House Kwai Wah House,4 800 As at 30.6.2025,14.1 - 38.1,Formed,Housing Department Kowloon East (2) District Tenancy Management Office G/F  Fu Tong House  Yau Tong Estate  Kowloon Tel.: 2349 4189 Fax: 2174 5187,Kai Fu Property Services Company Limited Lower Ngau Tau Kok Estate Property Service Management Office  G/F of Blocks Kwai Sun House and Kwai Fai House  Lower Ngau Tau Kok Estate Tel.: 2711 2090 Fax: 2711 2390 E-mail: csa.lntk@kaifupsc.com.hk,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/LowerNgauTauKokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lower Ngau Tau Kok,4800,10900,4800
Wang Tau Hom Estate,Wong Tai Sin,Kowloon,22.3409,114.18601,Public Rental Housing,1982 - 1993,Double H  Harmony 3  Linear L  Linear 1  Linear 3,18,Wang Chak House Wang Fai House Wang Kwong House Wang On House Wang Wai House Wang Chung House Wang Chiu House Wang Cho House Wang Fu House Wang Hau House Wang Hing House Wang Hin House Wang Kei House Wang Lai House Wang Leung House Wang Tak House Wang Yip House Wang Yiu House,5 900 As at 30.6.2025,12.2 - 52.3,Formed,Wang Tau Hom Estate Tenancy Management Office G/F  Wang Fai House  Wang Tau Hom Estate  Wang Tau Hom Telephone: 2336 1053 Fax: 2336 5231,Modern Living Property Management Ltd.  G/F  Wang Fai House  Wang Tau Hom Estate  Wang Tau Hom Telephone: 2336 0258 Fax: 2337 6546,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/WangTauHomEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wang Tau Hom,5900,15800,5800
Cheung Hang Estate,Kwai Tsing,New Territories,22.35723,114.0983,Public Rental Housing,1990,Harmony 2  Trident 3  Trident 4,6,Hang Lai House Hang Yip House Hang Chi House Hang Chun House Hang Chui House Hang Yee House,4 400 As at 30.6.2025,9.4 - 52.2,Formed,Tsing Yi District Tenancy Management Office Wings A & B  G/F  Yee Yip House  Tsing Yi Estate  Tsing Yi Telephone: 2431 0305 Fax: 2435 5137,Easy Living Consultant Limited. Nos 1-8  G/F  Hang Lai House  Cheung Hang Estate  Tsing Yi Telephone: 2495 5225 Fax: 2436 0463,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/CheungHangEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Cheung Hang,4400,12200,4300
Cheung On Estate,Kwai Tsing,New Territories,22.35992,114.10435,Tenants Purchase Scheme,1988,Linear 1  New Slab  Trident 3,10,On Ching House On Hoi House On Kong House On Mei House On Pak House On Tao House On Wu House On Yeung House On Chiu House On Yun House,700 * As at 30.6.2025,Gross Floor Areas (sqm):15.1 - 74.5; Saleable Areas (sqm):11.7 - 53.1,Not applicable (Owners' Corporation Formed),Housing Department Cheung Fat Estate and Cheung On Estate District Tenancy Management Office Unit 105-109  Chun Fat House  Cheung Fat Estate  Tsing Yi Telephone: 2109 0277 Fax: 2109 0276  Cheung Fat and Cheung On Estate Tenants Services Management Office Pioneer Management Ltd Unit 110-112 G/F  Chun Fat House  Cheung Fat Estate  Tsing Yi Telephone : 2433 0277 Fax: 2433 1986,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Cheung On,700,1400,600
Yau Lai Estate,Kwun Tong,Kowloon,22.30194,114.23627,Public Rental Housing,2004  2009  2010  2011  2019,NCB  Non-standard,14,Bik Lai House Chi Lai House Nga Lai House Sau Lai House Yat Lai House Yi Lai House Ying Lai House Fung Lai House Tsui Lai House Hong Lai House Yan Lai House Cheuk Lai House Yung Lai House Shun Lai House,9 000 As at 30.6.2025,14.05 - 53.6,Formed,Housing Department Kowloon East (5) District Tenancy Management Office G/F  Yi Lai House  Yau Lai Estate  Yau Tong  Kowloon Telephone: 2629 4372 Fax: 2629 4210,Kai Fu Property Services Company Limited  G/F  Fung Lai House  Yau Lai Estate  Yau Tong  Kowloon Telephone: 2629 4398 Fax: 2629 4478,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/YauLaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Yau Lai,9000,21300,9000
Ap Lei Chau Estate,Southern,Hong Kong Island,22.24443,114.15216,Public Rental Housing,1980,Double H  Old Slab  Triple H,8,Lei Chak House Lei Ning House Lei Tim House Lei Yee House Lei Fook High Block Lei Fook Low Block Lei Moon High Block Lei Moon Low Block,4 500 As at 30.6.2025,23.13 - 67.91,Formed,Ap Lei Chau Estate Office No. 24-31  G/F  Lei Moon House (High Block)   Ap Lei Chau Estate  Hong Kong  Tel : 2554 4941 Fax : 3695 0353,Ap Lei Chau Estate Office No. 24-31  G/F  Lei Moon House (High Block)   Ap Lei Chau Estate  Hong Kong  Tel : 2554 4941 Fax : 3695 0353,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ApLeiChauEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Ap Lei Chau,4500,11100,4300
Lei Tung Estate,Southern,Hong Kong Island,22.24077,114.15697,Tenants Purchase Scheme,1987,Trident 1  Trident 2,8,Tung Cheong House Tung Hing House Tung Mau House Tung On House Tung Ping House Tung Sing House Tung Yip House Tung Yat House,1 200 * As at 30.6.2025,Gross Floor Areas (sqm):38.4 - 63.4 Saleable Areas (sqm):26.7 - 45.5,Not applicable (Owners' Corporation Formed),Hong Kong District Tenancy Management office  Lei Tung Sub-office No. 108-116  G/F  Tung Cheong House   Lei Tung Estate  Hong Kong Tel : 2814 8105 Fax : 2580 9892   Lei Tung Estate Tenants Service Management Office Kai Fu Property Services Company Limited No. 105  G/ F Tung Mou House  Lei Tung Estate  Ap Lei Chau  Hong Kong Tel : 2871 2686 Fax : 2871 3389,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only  <a href= /en/common/pdf/global-elements/estate-locator/LeiTungEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Lei Tung,1200,2400,1100
